ListSizes,TestResult
0,0
1000,1
2000,3
3000,4
4000,5
5000,6
6000,7
7000,8
8000,10
9000,11
10000,14
11000,13
12000,14
13000,16
14000,18
15000,18
16000,20
17000,19
18000,21
19000,23
20000,24
21000,26
22000,27
23000,28
24000,30
25000,31
26000,31
27000,33
28000,34
29000,34
30000,36
31000,38
32000,41
33000,40
34000,40
35000,42
36000,44
37000,44
38000,45
39000,48
40000,49
41000,49
42000,51
43000,52
44000,55
45000,54
46000,55
47000,56
48000,57
49000,58
50000,61
51000,61
52000,63
53000,63
54000,65
55000,67
56000,68
57000,71
58000,72
59000,71
60000,74
61000,77
62000,79
63000,77
64000,80
65000,79
66000,79
67000,84
68000,84
69000,84
70000,88
71000,87
72000,87
73000,89
74000,93
75000,110
76000,95
77000,99
78000,99
79000,125
80000,123
81000,101
82000,102
83000,103
84000,103
85000,106
86000,109
87000,113
88000,107
89000,120
90000,117
91000,110
92000,110
93000,112
94000,113
95000,117
96000,114
97000,116
98000,118
99000,120
100000,116
101000,120
102000,121
103000,122
104000,129
105000,126
106000,128
107000,129
108000,129
109000,129
110000,131
111000,135
112000,134
113000,135
114000,138
115000,141
116000,142
117000,146
118000,145
119000,149
120000,145
121000,147
122000,153
123000,185
124000,157
125000,153
126000,158
127000,157
128000,158
129000,155
130000,161
131000,162
132000,159
133000,159
134000,159
135000,163
136000,168
137000,166
138000,165
139000,167
140000,174
141000,167
142000,174
143000,174
144000,176
145000,173
146000,173
147000,174
148000,178
149000,179
150000,181
151000,178
152000,185
153000,185
154000,184
155000,189
156000,189
157000,189
158000,186
159000,193
160000,195
161000,195
162000,192
163000,212
164000,200
165000,200
166000,197
167000,206
168000,201
169000,207
170000,219
171000,210
172000,248
173000,211
174000,214
175000,210
176000,207
177000,211
178000,215
179000,214
180000,221
181000,221
182000,220
183000,223
184000,224
185000,221
186000,217
187000,221
188000,225
189000,225
190000,231
191000,235
192000,238
193000,235
194000,230
195000,240
196000,237
197000,236
198000,235
199000,240
